TPR@1%FPR,blurring,,,,,,TPR@1%FPR,"brightness
",,,,,,TPR@1%FPR,"compression
",,,,,,TPR@1%FPR,"contrast
",,,,,,TPR@1%FPR,"noise
",,,,
CIN,1,1,1,1,0.989708,,CIN,1,1,1,1,0.999993,,CIN,0.9983575,0.999998,1,1,1,,CIN,1,1,1,1,1,,CIN,1,1,1,1,1
PIMoG,1,1,1,1,1,,PIMoG,0.999995,0.9998075,0.999324,0.9987785,0.9986645,,PIMoG,0.994992,1,1,1,1,,PIMoG,1,1,0.999987,0.999962,0.99981,,PIMoG,1,1,1,0.999995,0.9996465
RivaGAN,0.9999445,0.999481,0.983058,0.793273,0.6280855,,RivaGAN,0.9999445,0.999559,0.9991915,0.999076,0.9990235,,RivaGAN,0.8996195,0.9959865,0.999187,0.9998,0.999821,,RivaGAN,0.9999695,0.999983,0.999861,0.9998785,0.9998255,,RivaGAN,0.999956,0.9999775,0.9997235,0.99792,0.9906095
SepMark,1,1,1,0.9999965,0.999877,,SepMark,0.999998,0.999925,0.9993055,0.9991325,0.9989365,,SepMark,0.9999155,0.9999925,0.999996,0.999998,0.999999,,SepMark,0.999993,0.9999565,0.999918,0.9998345,0.9999005,,SepMark,1,1,1,1,1
DWTDCT,0.757774,0.500679,0.4938145,0.4991915,0.507345,,DWTDCT,0.917858,0.8628175,0.594288,0.320944,0.3238995,,DWTDCT,0.507113,0.526482,0.4973055,0.4972475,0.519285,,DWTDCT,0.9203435,0.878333,0.7003005,0.3663905,0.319438,,DWTDCT,0.962431,0.955877,0.894899,0.559721,0.2837115
DWTDCTSVD,1,0.9396255,0.622658,0.4891565,0.415419,,DWTDCTSVD,0.6497305,0.600546,0.49289,0.5017345,0.5157355,,DWTDCTSVD,0.305017,0.555742,0.43378,0.8713475,0.997929,,DWTDCTSVD,0.6722785,0.656892,0.517688,0.5333565,0.634663,,DWTDCTSVD,1,0.999078,0.998134,0.996158,0.9679775
SSL,1,0.999725,0.600891,0.464432,0.3575955,,SSL,0.9999985,0.9994825,0.997893,0.994091,0.9885755,,SSL,0.7746425,0.933753,0.9850025,0.996654,0.9997215,,SSL,1,0.9999995,0.999953,0.9995815,0.998994,,SSL,0.999969,0.9939045,0.942839,0.8481155,0.7615225
StegaStamp,1,1,0.997653,0.9844175,0.9528175,,StegaStamp,1,1,0.999993,0.9996255,0.9994305,,StegaStamp,0.992806,1,1,1,1,,StegaStamp,1,1,1,1,0.9999255,,StegaStamp,1,1,1,1,1
TrustMark_C,1,1,1,0.9950525,0.895783,,TrustMark_C,1,0.999925,0.9991,0.997496,0.996548,,TrustMark_C,0.998565,1,1,1,1,,TrustMark_C,1,1,0.9999985,0.9998855,0.9997085,,TrustMark_C,1,1,1,1,1
EditGuard,0.6635955,0.5805865,0.3948235,0.417695,0.4792115,,EditGuard,1,0.9999995,0.9995905,0.9998545,0.9986075,,EditGuard,0.900987,0.992885,0.99908,0.9999955,1,,EditGuard,1,1,1,1,1,,EditGuard,1,1,1,1,1
VINE-R,1,1,1,1,1,,VINE-R,1,1,0.9998,0.9998,0.9997,,VINE-R,1,1,1,1,1,,VINE-R,1,1,1,1,1,,VINE-R,1,1,1,1,1
VINE-B,1,1,1,1,0.9999,,VINE-B,1,0.9999,0.9996,0.9979,0.9974,,VINE-B,0.9998,1,1,1,1,,VINE-B,1,1,1,1,1,,VINE-B,1,1,1,1,1
